Job_ID,Title,genre,Arbetsgivare,Yrke,Beskrivning,Ort
24435258,Utvecklare/”Junior Developer”,Utvecklare Västernorrland Jämtland,OnePartnerGroup Jämtland AB,Systemutvecklare/Programmerare,Utvecklare/”Junior Developer”,Iron Mountain/Recall Sweden AB (Östersund)
24414209,Utvecklare/samordnare inom social hållbarhet ,Utvecklare Västernorrland Jämtland,Länsstyrelsen i Västernorrlands län,"Handläggare/Utredare, offentlig förvaltning",Utvecklare/samordnare inom social hållbarhet ,Länsstyrelsen Västernorrland
24437233,Senior Software Engineer with focus on Optimization and AI,Utvecklare Västernorrland Jämtland,Loxysoft WFM AB,Systemutvecklare/Programmerare,Senior Software Engineer with focus on Optimization and AI,Lifesize Östersund
24429304,Erfaren .NET-utvecklare som motiveras av lagarbete,Utvecklare Västernorrland Jämtland,Sopra Steria Sweden AB,Systemutvecklare/Programmerare,Erfaren .NET-utvecklare som motiveras av lagarbete,Sopra Steria
24415848,Erfaren javautvecklare till vårt Östersundskontor,Utvecklare Västernorrland Jämtland,Sopra Steria Sweden AB,Systemutvecklare/Programmerare,Erfaren javautvecklare till vårt Östersundskontor,Sopra Steria
24406134,Gör ditt Ex-jobb på Cybercom i Östersund!,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Gör ditt Ex-jobb på Cybercom i Östersund!,Cybercom Sweden & Denmark
24406064,Programmerande konsultchef - Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Programmerande konsultchef - Cybercom Östersund,Cybercom Sweden & Denmark
24347866,Kund och verksamhetsintresserad systemutvecklare till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Kund och verksamhetsintresserad systemutvecklare till Cybercom Östersund,Cybercom Sweden & Denmark
24347857,C/C++ utvecklare till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,C/C++ utvecklare till Cybercom Östersund,Cybercom Sweden & Denmark
24347836,Developer JAVA till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,Systemutvecklare/Programmerare,Developer JAVA till Cybercom Östersund,Cybercom Sweden & Denmark
24342958,Systemutvecklare till våra agila team,Utvecklare Västernorrland Jämtland,Skatteverket,Systemutvecklare/Programmerare,Systemutvecklare till våra agila team,"Skatteverket, IT/STÖD, It-avdelningen"
24450277,Rekrytering av juniora Systemutvecklare till Biometria Traineeprogram,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,Systemutvecklare/Programmerare,Rekrytering av juniora Systemutvecklare till Biometria Traineeprogram,Professionals Nord Rekrytering AB
24448919,"Systemutvecklare till uppdrag i Gävle, Sundsvall och Östersund ",Utvecklare Västernorrland Jämtland,Experis AB,Mjukvaruutvecklare,"Systemutvecklare till uppdrag i Gävle, Sundsvall och Östersund ",Experis IT
24448436,Senior utvecklare,Utvecklare Västernorrland Jämtland,Myndigheten För Digital Förvaltning,Mjukvaruutvecklare,Senior utvecklare,Myndigheten för digital förvaltning
24441981,Systemutvecklare inbyggda system,Utvecklare Västernorrland Jämtland,Bae Systems Hägglunds AB,Systemutvecklare/Programmerare,Systemutvecklare inbyggda system,Bae Systems Hägglunds AB
24441510,System developer to inhouse team in Örnsköldsvik,Utvecklare Västernorrland Jämtland,Knightec AB,Systemutvecklare/Programmerare,System developer to inhouse team in Örnsköldsvik,Knightec
24430402,Spelutvecklare till Frontwalker ,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,"Programmerare, PC-spel",Spelutvecklare till Frontwalker ,Professionals Nord Rekrytering AB
24430407,Javautvecklare till Frontwalker Sundsvall,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,Mjukvaruutvecklare,Javautvecklare till Frontwalker Sundsvall,Professionals Nord Rekrytering AB
