Job_ID,Title,genre,Arbetsgivare,Yrke,Beskrivning,Ort
24432413,Två vikarierande underläkare i barn- och ungdomsmedicin vid Östersunds sjuk,Läkare Västernorrland Jämtland,REGION JÄMTLAND HÄRJEDALEN,Läkare,Två vikarierande underläkare i barn- och ungdomsmedicin vid Östersunds sjuk,"Region Jämtland Härjedalen, Område Barn och ungdomsmedicin"
24436153,Överläkare till ÖNH Västernorrland,Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Läkare,Överläkare till ÖNH Västernorrland,Region Västernorrland
24445824,Specialistläkare/överläkare till ÄlSa-team Sollefteå,Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Läkare,Specialistläkare/överläkare till ÄlSa-team Sollefteå,Region Västernorrland
24445389,"Underläkare medicinkliniken, Sundsvall",Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Läkare,"Underläkare medicinkliniken, Sundsvall",Region Västernorrland
24444293,Underläkare till Lungkliniken i Sundsvall,Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Läkare,Underläkare till Lungkliniken i Sundsvall,Region Västernorrland
24436565,Neurointerventionist till trombektomiverksamhet Sundsvall,Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Läkare,Neurointerventionist till trombektomiverksamhet Sundsvall,Region Västernorrland
24373575,Studierektor för AT-läkare Primärvård Sundsvall-Härnösand,Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Läkare,Studierektor för AT-läkare Primärvård Sundsvall-Härnösand,Region Västernorrland
24439136,Sveriges Bästa Läkare Sökes,Läkare Västernorrland Jämtland,Palmelind Konsult AB,Läkare,Sveriges Bästa Läkare Sökes,Magnifiq Kompetens
24439131,Sveriges Bästa Läkare Sökes,Läkare Västernorrland Jämtland,Palmelind Konsult AB,Läkare,Sveriges Bästa Läkare Sökes,Magnifiq Kompetens
24439035,Sveriges Bästa Läkare Sökes,Läkare Västernorrland Jämtland,Palmelind Konsult AB,Läkare,Sveriges Bästa Läkare Sökes,Magnifiq Kompetens
24441452,"ST-läkare till Kvinnosjukvården, Östersunds sjukhus",Läkare Västernorrland Jämtland,REGION JÄMTLAND HÄRJEDALEN,ST-läkare,"ST-läkare till Kvinnosjukvården, Östersunds sjukhus","Region Jämtland Härjedalen, Område Kvinna"
24439103,"ST läkare, Klinisk fysiologi",Läkare Västernorrland Jämtland,REGION JÄMTLAND HÄRJEDALEN,ST-läkare,"ST läkare, Klinisk fysiologi",Region Jämtland Härjedalen
24432676,Specialistläkare till smärtenheten i Östersund,Läkare Västernorrland Jämtland,REGION JÄMTLAND HÄRJEDALEN,Specialistläkare,Specialistläkare till smärtenheten i Östersund,"Region Jämtland Härjedalen, Område Hjärta, neurologi och rehabilitering"
24435509,"Överläkare/ST-läkare inom Vårdhygien, Region JH",Läkare Västernorrland Jämtland,REGION JÄMTLAND HÄRJEDALEN,Specialistläkare,"Överläkare/ST-läkare inom Vårdhygien, Region JH",Område Patientsäkerhet
24429045,"Specialistläkare Länsverksamhet Psykiatri, Härnösand",Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Specialistläkare,"Specialistläkare Länsverksamhet Psykiatri, Härnösand",Region Västernorrland
24409598,"ST-läkare Länsverksamhet Psykiatri, Örnsköldsvik",Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,ST-läkare,"ST-läkare Länsverksamhet Psykiatri, Örnsköldsvik",Region Västernorrland
24353195,Specialistläkare i allmänmedicin till Hälsocentralerna i Ådalenområdet,Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Specialistläkare,Specialistläkare i allmänmedicin till Hälsocentralerna i Ådalenområdet,Region Västernorrland
24240726,Specialistläkare i allmänmedicin till Hälsocentralerna i Ådalenområdet,Läkare Västernorrland Jämtland,REGION VÄSTERNORRLAND,Specialistläkare,Specialistläkare i allmänmedicin till Hälsocentralerna i Ådalenområdet,Region Västernorrland
24419400,"Lärare i Samhällsorienterade ämnen till Näldens skola, Jämtland",Lärare Västernorrland Jämtland,Krokoms kommun,"Lärare i grundskolan, årskurs 4-6","Lärare i Samhällsorienterade ämnen till Näldens skola, Jämtland",KROKOMS KOMMUN
24425746,"Lärare till Järåskolan,  tillika 1:e lärare",Lärare Västernorrland Jämtland,Ragunda kommun,"Lärare i grundskolan, årskurs 4-6","Lärare till Järåskolan,  tillika 1:e lärare","Ragunda kommun, Järåskolan"
24451862,"Lärare till El- och Energiprogrammet, inriktning Energi",Lärare Västernorrland Jämtland,Jämtlands Gymnasieförbund,Lärare i gymnasiet - yrkesämnen,"Lärare till El- och Energiprogrammet, inriktning Energi",Jämtlands Gymnasium Fyrvalla
24447979,Lärare med behörighet i musik,Lärare Västernorrland Jämtland,Krokoms kommun,"Lärare i grundskolan, årskurs 4-6",Lärare med behörighet i musik,KROKOMS KOMMUN
24437782,Lärare med behörighet fritidshem till Trångsviken,Lärare Västernorrland Jämtland,Krokoms kommun,Lärare i fritidshem/Fritidspedagog,Lärare med behörighet fritidshem till Trångsviken,KROKOMS KOMMUN
24432885,Lärare i musik till Kastalskolan,Lärare Västernorrland Jämtland,Östersunds kommun,"Lärare i grundskolan, årskurs 7-9",Lärare i musik till Kastalskolan,Östersunds kommun
24393792,Lärare med behörighet i fritidshem till Hissmoskolan,Lärare Västernorrland Jämtland,Krokoms kommun,Lärare i fritidshem/Fritidspedagog,Lärare med behörighet i fritidshem till Hissmoskolan,KROKOMS KOMMUN
24334393,Distanslärare till Arena Utbildning,Lärare Västernorrland Jämtland,Svensk Vård & Kompetensutveckling i Stockholm AB,Lärare i gymnasiet,Distanslärare till Arena Utbildning,Arena Utbildning Östersund
24437952,Lärare Teknik/Fysik/Kemi och Matematik,Lärare Västernorrland Jämtland,Karriären Sverige AB,Lärare i gymnasiet,Lärare Teknik/Fysik/Kemi och Matematik,Nordic Recruitment Solutions AB
24437921,Lärare i Svenska och Engelska,Lärare Västernorrland Jämtland,Karriären Sverige AB,Lärare i gymnasiet,Lärare i Svenska och Engelska,Nordic Recruitment Solutions AB
24437317,Lärare åk 4-6 Mariedalsskolan,Lärare Västernorrland Jämtland,Timrå kommun,"Lärare i grundskolan, årskurs 4-6",Lärare åk 4-6 Mariedalsskolan,"Barn och utbildning, Mariedals skola"
24435189,Lärare åk 4-6,Lärare Västernorrland Jämtland,Timrå kommun,"Lärare i grundskolan, årskurs 4-6",Lärare åk 4-6,"Barn och utbildning, Böle skola"
24432606,Grundskollärare i svenska och engelska till Bjästaskolan,Lärare Västernorrland Jämtland,Örnsköldsviks kommun,"Lärare i grundskolan, årskurs 7-9",Grundskollärare i svenska och engelska till Bjästaskolan,"Bildningsförvaltningen, Grundskolan"
24426499,MSB Sandö söker lärarvikarie inom olika befattningar,Lärare Västernorrland Jämtland,Myndigheten För Samhällsskydd och Beredskap (Msb,Brandbefäl/Räddningsledare/Insatsledare,MSB Sandö söker lärarvikarie inom olika befattningar,Myndigheten för samhällsskydd och beredskap
24420700,Högakustenskolan söker lärare till mellanstadiet,Lärare Västernorrland Jämtland,Kramfors kommun,"Lärare i grundskolan, årskurs 4-6",Högakustenskolan söker lärare till mellanstadiet,"Kramfors kommun, Bildningsförvaltningen"
24418182,"Behörig lärare i engelska, svenska och/eller matematik",Lärare Västernorrland Jämtland,Astar AB,Lärare i gymnasiet,"Behörig lärare i engelska, svenska och/eller matematik",Astar AB
24414508,MSB Sandö söker lärare,Lärare Västernorrland Jämtland,Myndigheten För Samhällsskydd och Beredskap (Msb,Brandbefäl/Räddningsledare/Insatsledare,MSB Sandö söker lärare,Myndigheten för samhällsskydd och beredskap
24405606,Speciallärare/specialpedagog,Lärare Västernorrland Jämtland,Härnösands kommun,Specialpedagog,Speciallärare/specialpedagog,Härnösands Kommun
24350060,Lärare i Svenska och Engelska,Lärare Västernorrland Jämtland,Impius Vård och Utbildning AB,Lärare i gymnasiet,Lärare i Svenska och Engelska,Hampnäs gymnasium/Impius vård och utbildning AB
24350039,Gymnasielärare Teknik/Fysik/Kemi och Matematik Impius Örnsköldsvik,Lärare Västernorrland Jämtland,Impius Vård och Utbildning AB,Lärare i gymnasiet,Gymnasielärare Teknik/Fysik/Kemi och Matematik Impius Örnsköldsvik,Hampnäs gymnasium/Impius vård och utbildning AB
24294490,"Lärare Sankt Ignatios Folkhögskola, Sundsvall ",Lärare Västernorrland Jämtland,Stift Sankt Ignatios,Folkhögskolelärare,"Lärare Sankt Ignatios Folkhögskola, Sundsvall ","Sundsvall, Syntesvägen 4"
