ID,Title,Yrke,,,Utbildning ,Timestamp,,,,,Timestamp
1,Snickare sökers,Snickare -,,,Körkort B -,441767841948,,,,,
2,Sjuksköterska till Norge,Sjuksköterska -,,,Legitimerad -,441767847884,,,,,
3,Sjuksköterska Capio Novakliniken Gärsnäs - Simrishamn,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769441492,,,,,
4,Sjuksköterska Skåne Stadsmission,Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441769446057,,,,,
5,"Sjuksköterska Sektor socialtjänst, HSL - Nordmaling",Sjuksköterska -,,,"Legitimerad -, Högskola -, Körkort B -",441769449303,,,,,
6,"Sjuksköterska Capio Närsjukvård, Capio Novakliniken Marinan",Sjuksköterska -,,,"Legitimerad -, Högskola -",441769454203,,,,,
7,Sjuksköterska SKHLM Vårdcentral AB ,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769457455,,,,,
8,"Sjuksköterska kommun, Hemtjänstområde Västra",Sjuksköterska -,,,"Legitimerad -, Högskola -",441769461000,,,,,
9,Sjuksköterska Region ,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769464475,,,,,
10,Sjuksköterska Agaten hemtjänst ,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769468204,,,,,
11,Sjuksköterska Uppsala kommun,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769471765,,,,,
12,"Sjuksköterska Sjukhusen i väster, Geriatrik, neurologi",Sjuksköterska -,,,"Legitimerad -, Högskola -",441769475260,,,,,
13,Sjuksköterska Eduredo AB ,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769478444,,,,,
14,Sjuksköterska Eduredo AB ,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769483276,,,,,
15,Sjuksköterska EduredSverige,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769494158,,,,,
16,Sjuksköterska Närsjukhuset Österlen,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769498757,,,,,
17,Sjuksköterska Wasa Vårdcentra,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769505468,,,,,
18,Sjuksköterska Capio Närsjukvård,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769510913,,,,,
19,Sjuksköterska Överkalix kommun ,Sjuksköterska -,,,"Legitimerad -, Högskola -",441769517221,,,,,
