ID,Job_ID,Titel,Yrke,Beskrivning,Ort,Arbetsgivare
rec0486iC3WBPA2n1,24420475,Personliga assistenter sökes som behovsvikarier i Sundsvall och Timrå,Personlig assistent,Personliga assistenter sökes som behovsvikarier i Sundsvall och Timrå,Frösunda Personlig assistans,Frösunda Omsorg AB
rec0C9NggYzcIb6oL,24410337,"Sjuksköterskor till Ortopedavdelningen, Östersunds sjukhus","Sjuksköterska, grundutbildad","Sjuksköterskor till Ortopedavdelningen, Östersunds sjukhus",Område Ortopedi,REGION JÄMTLAND HÄRJEDALEN
rec0GuO2YzEatK0kW,24412222,"Sjuksköterska, sommarvikariat, Kirurgens akutvårdsavdelning KAVA, Sundsvall","Sjuksköterska, grundutbildad","Sjuksköterska, sommarvikariat, Kirurgens akutvårdsavdelning KAVA, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
rec0JMwPVwEX5NSpe,24404012,Sjuksköterska till kirurgavdelning i Örnsköldsvik!,"Sjuksköterska, medicin och kirurgi",Sjuksköterska till kirurgavdelning i Örnsköldsvik!,Centric Care AB,Centric Care AB
rec0NyvbNgLycQRwi,24438570,"Undersköterska, sommarvikariat, IVA, Sundsvall","Undersköterska, vård- o specialavd. o mottagning","Undersköterska, sommarvikariat, IVA, Sundsvall",Region Västernorrland,REGION VÄSTERNORRLAND
rec0V8BVNHteYtHYF,24437383,Sjuksköterska till strokeavdelning,"Sjuksköterska, grundutbildad",Sjuksköterska till strokeavdelning,Dedicare AB (publ),Dedicare AB (publ)
rec0Z2NB4mZJTShVq,24403824,Butikssäljare till kund i Sundsvall,"Butikssäljare, fackhandel",Butikssäljare till kund i Sundsvall,StudentConsulting,Studentconsulting Sweden AB (Publ)
rec0glrNLFCTzltK0,24441452,"ST-läkare till Kvinnosjukvården, Östersunds sjukhus",ST-läkare,"ST-läkare till Kvinnosjukvården, Östersunds sjukhus","Region Jämtland Härjedalen, Område Kvinna",REGION JÄMTLAND HÄRJEDALEN
rec0jc7ndEeClxw7O,24445652,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Account manager,"Säljare Region Nord – Västerbotten, Västernorrland och Jämtland",Ramudden AB,Ramudden AB
rec0r4JXCmi7CcZ4u,24411259,Sjuksköterska sökes för bemanningsuppdrag 2021 ,"Sjuksköterska, grundutbildad",Sjuksköterska sökes för bemanningsuppdrag 2021 ,Viva Bemanning - Sundsvall,Viva Bemanning AB
rec0yvmcD6tPKDPRo,24449142,Erfaren kommunikationsstrateg inkl. härliga kollegor* ,Kommunikationsstrateg,Erfaren kommunikationsstrateg inkl. härliga kollegor* ,"Region Jämtland Härjedalen, Kommunikationsavdelningen",REGION JÄMTLAND HÄRJEDALEN
rec187Yz7KmrzGfHN,24435189,Lärare åk 4-6,"Lärare i grundskolan, årskurs 4-6",Lärare åk 4-6,"Barn och utbildning, Böle skola",Timrå kommun
rec19PCbVaHbNmpP1,24434854,Personlig assistent i Örnsköldsvik,Personlig assistent,Personlig assistent i Örnsköldsvik,Rehabassistans AB,Inre Kraft i Norr AB
rec1HgLpjRtROlzcL,24426993,Kvinnliga personliga assistenter åt en ung man i Sollefteå,Personlig assistent,Kvinnliga personliga assistenter åt en ung man i Sollefteå,Livsam Personlig Assistans AB,Livsam Personlig Assistans AB
rec1QQjkmcrA1XPK9,24426908,"Biomedicinsk analytiker, semestervikariat Örnsköldsvik",Biomedicinsk analytiker,"Biomedicinsk analytiker, semestervikariat Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
rec1U8p1ud2qSTxIS,24393317,Rådomsgården AB söker undersköterska natt,"Undersköterska, hemtjänst och äldreboende",Rådomsgården AB söker undersköterska natt,Rådomsgården AB,Rådomsgården AB
rec1a9sn1sahVDnop,24434395,"Sjuksköterska till Dialysmottagningen, Örnsköldsvik","Sjuksköterska, grundutbildad","Sjuksköterska till Dialysmottagningen, Örnsköldsvik",Region Västernorrland,REGION VÄSTERNORRLAND
rec1aKUTaanmJB947,24448705,HR-strateg med chefsansvar,HR-specialist/HR-adviser,HR-strateg med chefsansvar,"Region Jämtland Härjedalen, HR och Löneservice",REGION JÄMTLAND HÄRJEDALEN
rec1bUlS7jL1aci3E,24431276,Söker Sushi Kock,Restaurangbiträde,Söker Sushi Kock,Ayan Sushi AB,Ayan Sushi AB
rec1fouoZdcBK10gZ,24240726,Specialistläkare i allmänmedicin till Hälsocentralerna i Ådalenområdet,Specialistläkare,Specialistläkare i allmänmedicin till Hälsocentralerna i Ådalenområdet,Region Västernorrland,REGION VÄSTERNORRLAND
rec1gDBadfzg7JgV2,24429045,"Specialistläkare Länsverksamhet Psykiatri, Härnösand",Specialistläkare,"Specialistläkare Länsverksamhet Psykiatri, Härnösand",Region Västernorrland,REGION VÄSTERNORRLAND
