jobId,title,genre,Arbetsgivare,application_deadline
1,Utvecklare/”Junior Developer”,Utvecklare Västernorrland Jämtland,OnePartnerGroup Jämtland AB,2021-01-22T23:59:59
2,Utvecklare/samordnare inom social hållbarhet ,Utvecklare Västernorrland Jämtland,Länsstyrelsen i Västernorrlands län,2020-12-28T23:59:59
3,Senior Software Engineer with focus on Optimization and AI,Utvecklare Västernorrland Jämtland,Loxysoft WFM AB,2021-01-31T23:59:59
4,Erfaren .NET-utvecklare som motiveras av lagarbete,Utvecklare Västernorrland Jämtland,Sopra Steria Sweden AB,2021-01-31T23:59:59
5,Erfaren javautvecklare till vårt Östersundskontor,Utvecklare Västernorrland Jämtland,Sopra Steria Sweden AB,2021-01-31T23:59:59
6,Gör ditt Ex-jobb på Cybercom i Östersund!,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,2021-01-10T23:59:59
7,Programmerande konsultchef - Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,2021-05-22T23:59:59
8,Kund och verksamhetsintresserad systemutvecklare till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,2021-04-23T23:59:59
9,C/C++ utvecklare till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,2020-12-31T23:59:59
10,Developer JAVA till Cybercom Östersund,Utvecklare Västernorrland Jämtland,Cybercom Sweden AB,2020-12-31T23:59:59
11,Systemutvecklare till våra agila team,Utvecklare Västernorrland Jämtland,Skatteverket,2021-01-11T23:59:59
12,Rekrytering av juniora Systemutvecklare till Biometria Traineeprogram,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,2021-02-12T23:59:59
13,"Systemutvecklare till uppdrag i Gävle, Sundsvall och Östersund ",Utvecklare Västernorrland Jämtland,Experis AB,2021-01-20T23:59:59
14,Senior utvecklare,Utvecklare Västernorrland Jämtland,Myndigheten För Digital Förvaltning,2021-01-10T23:59:59
15,Systemutvecklare inbyggda system,Utvecklare Västernorrland Jämtland,Bae Systems Hägglunds AB,2021-01-17T23:59:59
16,System developer to inhouse team in Örnsköldsvik,Utvecklare Västernorrland Jämtland,Knightec AB,2021-01-18T23:59:59
17,Spelutvecklare till Frontwalker ,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,2021-01-17T23:59:59
18,Javautvecklare till Frontwalker Sundsvall,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,2021-01-17T23:59:59
19,Systemutvecklare / Utvecklare / Java / .NET till Frontwalker,Utvecklare Västernorrland Jämtland,Bravura Sverige AB,2021-01-31T23:59:59
20,Dags att ta nästa steg inom javautveckling?,Utvecklare Västernorrland Jämtland,Alten Sverige AB,2021-01-04T23:59:59
21,Utvecklare till Softronic ,Utvecklare Västernorrland Jämtland,Professionals Nord Rekrytering AB,2021-01-17T23:59:59
22,Spelutvecklare / Systemutvecklare till Frontwalker i Sundsvall,Utvecklare Västernorrland Jämtland,Bravura Sverige AB,2021-01-11T23:59:59
23,Systemutvecklare till Telias DevOps-team,Utvecklare Västernorrland Jämtland,Academic Work Sweden AB,2021-01-15T23:59:59
24,Specialist på publika molntjänster,Utvecklare Västernorrland Jämtland,GDM Konsult AB,2021-01-11T23:59:59
25,iOS-utvecklare till Evado i Sundsvall,Utvecklare Västernorrland Jämtland,Ghost Competence AB,2021-01-05T23:59:59
26,Agil teammedlem med inriktning mot systemutveckling,Utvecklare Västernorrland Jämtland,Bolagsverket,2021-01-06T23:59:59
27,Systemutvecklare till Sundsvall,Utvecklare Västernorrland Jämtland,Försäkringskassan,2021-01-10T23:59:59
